dataset,backbone,variant,rule_strength,weight_spatial,weight_temporal,weight_category_transition,weight_user_preference,weight_popularity,validation_recall_at_1,validation_recall_at_5,validation_recall_at_10,validation_recall_at_20,validation_mrr,validation_ndcg_at_5,validation_ndcg_at_10,validation_ndcg_at_20,validation_objective,test_recall_at_1,test_recall_at_5,test_recall_at_10,test_recall_at_20,test_mrr,test_ndcg_at_5,test_ndcg_at_10,test_ndcg_at_20,test_objective,test_delta_recall_at_1,test_delta_recall_at_5,test_delta_recall_at_10,test_delta_recall_at_20,test_delta_mrr,test_delta_ndcg_at_5,test_delta_ndcg_at_10,test_delta_ndcg_at_20,test_added_hits_at_1,test_added_hits_at_5,test_added_hits_at_10,test_added_hits_at_20
nyc,A4,base,0.0,0.0,0.0,0.0,0.0,0.0,0.2614285714285714,0.505,0.5957142857142858,0.6478571428571429,0.3724432536946039,0.3914957908001463,0.4214252405681436,0.4345853287273357,2.314653330209036,0.2613214550853749,0.526354862657758,0.6117297698589458,0.676317743132888,0.37953104230607,0.4021784353202657,0.4299865575020516,0.4467640166562295,2.353350160625593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
nyc,A4,full,0.5,0.3098617525092863,0.2980200129064579,0.0208299712346174,0.3597163214589122,0.0115719418907259,0.2707142857142857,0.5264285714285715,0.6085714285714285,0.6478571428571429,0.3817571200797053,0.4055880274148531,0.4323078878669406,0.4423061895388193,2.396630861780273,0.2754268745360059,0.5419450631031922,0.629547141796585,0.676317743132888,0.3929200168346082,0.4169406378528968,0.4453613783912122,0.4574935857738427,2.4535132159347213,0.014105419450631,0.0155902004454342,0.0178173719376392,0.0,0.0133889745285382,0.0147622025326311,0.0153748208891605,0.0107295691176132,19,21,24,0
nyc,A4,only_spatial,0.5,1.0,0.0,0.0,0.0,0.0,0.1914285714285714,0.5042857142857143,0.5978571428571429,0.6478571428571429,0.322238740101656,0.353465354135846,0.3838457397302114,0.3966527411080986,1.945704094237502,0.1878247958426132,0.5033407572383074,0.607275426874536,0.676317743132888,0.3265106219730975,0.354672954755689,0.3882942229582886,0.4062096274709526,1.9358235173375469,-0.0734966592427616,-0.0230141054194505,-0.0044543429844098,0.0,-0.0530204203329724,-0.0475054805645767,-0.041692334543763,-0.0405543891852769,-99,-31,-6,0
nyc,A4,only_temporal,0.5,0.0,1.0,0.0,0.0,0.0,0.2235714285714285,0.4914285714285714,0.5892857142857143,0.6478571428571429,0.3386299122618462,0.3618369823919636,0.3934442467588006,0.4083877548114558,2.0861811803680954,0.236822568671121,0.512249443207127,0.6124721603563474,0.676317743132888,0.3581316946580755,0.3810505776708748,0.4137090624584543,0.4301099124099655,2.198721990220561,-0.0244988864142539,-0.014105419450631,0.0007423904974016,0.0,-0.0213993476479945,-0.0211278576493909,-0.0162774950435973,-0.0166541042462639,-33,-19,1,0
nyc,A4,only_category_transition,0.5,0.0,0.0,1.0,0.0,0.0,0.2,0.4821428571428571,0.5907142857142857,0.6478571428571429,0.3221964756403568,0.3459623857239333,0.3812577962589119,0.3958261428384024,1.9503017185071476,0.1959910913140311,0.4840386043058649,0.6057906458797327,0.676317743132888,0.3225600954405689,0.344336219287305,0.3841378699913145,0.4024151175455371,1.9348992842898636,-0.0653303637713437,-0.0423162583518931,-0.005939123979213,0.0,-0.056970946865501,-0.0578422160329607,-0.0458486875107371,-0.0443488991106924,-88,-57,-8,0
nyc,A4,only_user_preference,0.5,0.0,0.0,0.0,1.0,0.0,0.2621428571428571,0.5071428571428571,0.595,0.6478571428571429,0.3728987322607082,0.3928460871115581,0.4215115554736606,0.4349611988835299,2.321459105086552,0.2464736451373422,0.5241276911655531,0.6191536748329621,0.676317743132888,0.3708828435581828,0.3947281853216572,0.4255149180141009,0.4402896570294876,2.275633300594762,-0.0148478099480326,-0.0022271714922048,0.0074239049740163,0.0,-0.0086481987478871,-0.0074502499986084,-0.0044716394879507,-0.0064743596267418,-20,-3,10,0
nyc,A4,only_popularity,0.5,0.0,0.0,0.0,0.0,1.0,0.2164285714285714,0.4528571428571428,0.5457142857142857,0.6478571428571429,0.3258703158211352,0.3415016520180734,0.3711825508779152,0.3967497304188737,1.985943396410637,0.2182628062360802,0.4751299183370452,0.5649591685226429,0.676317743132888,0.3335105680707633,0.3525714348608246,0.381430079318414,0.4092587121070558,2.034263146212954,-0.0430586488492947,-0.0512249443207127,-0.0467706013363028,0.0,-0.0460204742353066,-0.0496070004594411,-0.0485564781836376,-0.0375053045491737,-58,-69,-63,0
nyc,A4,without_spatial,0.5,0.0,0.4318265419863837,0.0301823168189178,0.5212235704466626,0.0167675707480358,0.2642857142857143,0.5114285714285715,0.5957142857142858,0.6478571428571429,0.3743636868322805,0.3953934090138001,0.4229230672701412,0.436175361180962,2.338328524417509,0.267260579064588,0.5412026726057907,0.6221232368225686,0.676317743132888,0.3852017199565341,0.4112160516203726,0.4373640988018005,0.4513643717237722,2.406662760441049,0.005939123979213,0.0148478099480326,0.0103934669636228,0.0,0.0056706776504641,0.0090376163001068,0.0073775412997488,0.0046003550675426,8,20,14,0
nyc,A4,without_temporal,0.5,0.4414110917780279,0.0,0.0296731696310336,0.5124310209301999,0.0164847176607386,0.2607142857142857,0.5207142857142857,0.605,0.6478571428571429,0.3775188614005742,0.4004574734471602,0.4281659018970702,0.4391490126159429,2.341547763419163,0.2561247216035635,0.534521158129176,0.623608017817372,0.676317743132888,0.3806612491822758,0.405496029796258,0.4344481504915912,0.4481239655860596,2.345177323521964,-0.0051967334818114,0.008166295471418,0.0118782479584261,0.0,0.0011302068762058,0.0033175944759922,0.0044615929895395,0.0013599489298301,-7,11,16,0
nyc,A4,without_category_transition,0.5,0.3164534691691752,0.3043598191850561,0.0,0.3673685988045119,0.0118181128412568,0.2707142857142857,0.5257142857142857,0.6085714285714285,0.6478571428571429,0.3820187906570272,0.4055537754663651,0.4325153064402814,0.4425151019044002,2.3961439946948206,0.2776540460282108,0.5419450631031922,0.6302895322939867,0.676317743132888,0.3940030253196865,0.4177172866476896,0.446386588829559,0.4583141521407097,2.464281559183412,0.0163325909428359,0.0155902004454342,0.0185597624350408,0.0,0.0144719830136165,0.0155388513274238,0.0164000313275073,0.0115501354844802,22,21,25,0
nyc,A4,without_user_preference,0.5,0.4839444810077291,0.4654499605323512,0.0325324101374556,0.0,0.018073148322464,0.2542857142857143,0.5185714285714286,0.6057142857142858,0.6478571428571429,0.3697662333250525,0.3938311835414257,0.4223544462336445,0.4330761497989537,2.299311702580764,0.2694877505567928,0.5382331106161841,0.6221232368225686,0.676317743132888,0.3854950147936897,0.4101277938918348,0.4375169730561009,0.451606279524987,2.41180692152888,0.0081662954714179,0.011878247958426,0.0103934669636228,0.0,0.0059639724876197,0.007949358571569,0.0075304155540492,0.0048422628687575,11,16,14,0
nyc,A4,without_popularity,0.5,0.3134894340231589,0.3015090582075634,0.021073836445378,0.3639276713238996,0.0,0.27,0.5264285714285715,0.6092857142857143,0.6478571428571429,0.3811881873630779,0.4051686659843297,0.4320743800536133,0.4418782691929933,2.392785424775979,0.2754268745360059,0.540460282108389,0.6288047512991833,0.676317743132888,0.393176119815721,0.4165935845065403,0.4453695787488959,0.4577077166987446,2.451937484574674,0.014105419450631,0.014105419450631,0.0170749814402375,0.0,0.0136450775096509,0.0144151491862745,0.0153830212468442,0.0109437000425151,19,19,23,0
nyc,A4,user_spatial,0.5,0.4627716536070492,0.0,0.0,0.5372283463929508,0.0,0.2557142857142857,0.5214285714285715,0.605,0.6478571428571429,0.374822502204215,0.3987141049728016,0.4261577890882617,0.4371448958748847,2.317822321462731,0.2546399406087602,0.534521158129176,0.6221232368225686,0.676317743132888,0.3800958428819029,0.4050448403098208,0.4335943625506082,0.4477194245111225,2.3382216037559407,-0.0066815144766146,0.008166295471418,0.0103934669636228,0.0,0.0005648005758329,0.002866404989555,0.0036078050485565,0.000955407854893,-9,11,14,0
nyc,A4,user_temporal,0.5,0.0,0.4530995131871625,0.0,0.5469004868128375,0.0,0.2664285714285714,0.5135714285714286,0.5964285714285714,0.6478571428571429,0.3756896365288074,0.3971443538663513,0.4241687199962715,0.4372137920661834,2.352119704680873,0.267260579064588,0.540460282108389,0.6228656273199703,0.676317743132888,0.3859705666080439,0.4115449981415145,0.4381767854983276,0.4519817664921814,2.4070181631162995,0.005939123979213,0.014105419450631,0.0111358574610245,0.0,0.0064395243019739,0.0093665628212487,0.0081902279962759,0.0052177498359519,8,19,15,0
nyc,A4,user_spatial_temporal,0.5,0.320238078921942,0.3079997955236385,0.0,0.3717621255544195,0.0,0.27,0.5264285714285715,0.6092857142857143,0.6478571428571429,0.3817521045966381,0.40561048180383,0.4325173186029715,0.4423250287836957,2.39379115782904,0.2783964365256124,0.5412026726057907,0.6302895322939867,0.676317743132888,0.3947136258632493,0.4179692848498398,0.4469402789257887,0.4588743045912258,2.46747132942133,0.0170749814402375,0.0148478099480326,0.0185597624350408,0.0,0.0151825835571793,0.0157908495295741,0.016953721423737,0.0121102879349963,23,20,25,0
ca,R0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.2017568716350241,0.376877302351941,0.4420515726834797,0.512609804477189,0.2850745497090298,0.2947445147039148,0.3159464950144193,0.3338058240489271,1.763723853304982,0.168705035971223,0.3446043165467626,0.4194244604316546,0.4827338129496403,0.2540106637139401,0.2625379231548729,0.2867940656166681,0.3029215304446722,1.5359730473004678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ca,R0,full,0.25,0.2677479697303085,0.3411751265744233,0.0180007785879274,0.3701532559962669,0.0029228691110735,0.2054406347407197,0.3845281949560782,0.45423632757155,0.512609804477189,0.2905169847420113,0.3010483542354631,0.3234310194581071,0.3383814209317071,1.7978560728964317,0.1694244604316546,0.3525179856115107,0.4309352517985611,0.4827338129496403,0.2583352465191564,0.2678627630152617,0.2934582878632786,0.3067063303737226,1.5564138368725475,0.0007194244604316,0.0079136690647481,0.0115107913669064,0.0,0.0043245828052162,0.0053248398603887,0.0066642222466105,0.0037847999290503,2,22,32,0
ca,R0,only_spatial,0.25,1.0,0.0,0.0,0.0,0.0,0.1907055823179371,0.389628790025503,0.4553697931425333,0.512609804477189,0.281208215965581,0.2955169232926923,0.3169073394647942,0.3315321008231134,1.7291762585555244,0.1622302158273381,0.3611510791366906,0.4330935251798561,0.4827338129496403,0.2532981741629563,0.2670206499972311,0.2903923433577782,0.3030449296042277,1.5303907666062306,-0.0064748201438848,0.016546762589928,0.0136690647482014,0.0,-0.0007124895509837,0.0044827268423581,0.0035982777411101,0.0001233991595554,-18,46,38,0
ca,R0,only_temporal,0.25,0.0,1.0,0.0,0.0,0.0,0.1994899404930575,0.3743270048172287,0.4474355341456503,0.512609804477189,0.284437110634694,0.2933114626337154,0.3168275486598526,0.3334061105853981,1.7500353400578683,0.1723021582733813,0.3464028776978417,0.4237410071942446,0.4827338129496403,0.2560578350130659,0.2645297645213407,0.2895790316362834,0.3045086140906388,1.5561991103257735,0.0035971223021582,0.0017985611510791,0.0043165467625899,0.0,0.0020471712991257,0.0019918413664677,0.0027849660196153,0.0015870836459665,10,5,12,0
ca,R0,only_category_transition,0.25,0.0,0.0,1.0,0.0,0.0,0.1898554831396996,0.3729101728534996,0.4454519693964295,0.512609804477189,0.2784300050810515,0.2882866133026495,0.3117743670259399,0.3288604297762255,1.6990487237959992,0.1564748201438849,0.3388489208633093,0.4197841726618705,0.4827338129496403,0.2458536083896325,0.2541616494240278,0.280713561795595,0.2967516661552456,1.4647634592525094,-0.0122302158273381,-0.0057553956834532,0.0003597122302158,0.0,-0.0081570553243076,-0.008376273730845,-0.0060805038210731,-0.0061698642894266,-34,-16,1,0
ca,R0,only_user_preference,0.25,0.0,0.0,0.0,1.0,0.0,0.2017568716350241,0.3822612638141116,0.4516860300368376,0.512609804477189,0.2882257804186401,0.2988442388582091,0.3210919792724557,0.3364993902649674,1.7763587696310572,0.1701438848920863,0.3532374100719424,0.4280575539568345,0.4827338129496403,0.2573642807695723,0.2676168049534574,0.2918512705465461,0.3057976714197943,1.5587940353633178,0.0014388489208633,0.0086330935251798,0.0086330935251798,0.0,0.0033536170556321,0.0050788817985845,0.0050572049298779,0.0028761409751221,4,24,24,0
ca,R0,only_popularity,0.25,0.0,0.0,0.0,0.0,1.0,0.1918390478889203,0.3697931425332955,0.4358175120430717,0.512609804477189,0.2785481766517149,0.2878167693267776,0.3092760172664101,0.3286133620624315,1.7035142800674694,0.1701438848920863,0.337410071942446,0.4107913669064748,0.4827338129496403,0.2516334936595449,0.2586654409302293,0.2824172642822386,0.3006637094366712,1.528284546100566,0.0014388489208633,-0.0071942446043165,-0.0086330935251798,0.0,-0.0023771700543951,-0.0038724822246435,-0.0043768013344294,-0.002257821008001,4,-20,-24,0
ca,R0,without_spatial,0.25,0.0,0.465925818531042,0.024582763643957,0.5054998015641391,0.0039916162608618,0.2054406347407197,0.3811277982431283,0.4502691980731085,0.512609804477189,0.2897280428656334,0.2994814433065507,0.321700877208596,0.3376081772365222,1.7920998233781915,0.1723021582733813,0.3525179856115107,0.4273381294964029,0.4827338129496403,0.2584946444753169,0.2683125742292902,0.2925365079034107,0.3066151358724538,1.5685338374096431,0.0035971223021582,0.0079136690647481,0.0079136690647482,0.0,0.0044839807613767,0.0057746510744172,0.0057424422867425,0.0036936054277815,10,22,22,0
