dataset,backbone,variant,rule_strength,weight_spatial,weight_temporal,weight_category_transition,weight_user_preference,weight_popularity,validation_recall_at_1,validation_recall_at_5,validation_recall_at_10,validation_recall_at_20,validation_mrr,validation_ndcg_at_5,validation_ndcg_at_10,validation_ndcg_at_20,validation_objective,test_recall_at_1,test_recall_at_5,test_recall_at_10,test_recall_at_20,test_mrr,test_ndcg_at_5,test_ndcg_at_10,test_ndcg_at_20,test_objective,test_delta_recall_at_1,test_delta_recall_at_5,test_delta_recall_at_10,test_delta_recall_at_20,test_delta_mrr,test_delta_ndcg_at_5,test_delta_ndcg_at_10,test_delta_ndcg_at_20,test_added_hits_at_1,test_added_hits_at_5,test_added_hits_at_10,test_added_hits_at_20
nyc,A4,base,0.0,0.0,0.0,0.0,0.0,0.0,0.26142857142857145,0.505,0.5957142857142858,0.6478571428571429,0.3724432536946039,0.39149579080014635,0.4214252405681436,0.43458532872733574,2.314653330209036,0.2613214550853749,0.526354862657758,0.6117297698589458,0.676317743132888,0.37953104230607,0.40217843532026576,0.42998655750205167,0.4467640166562295,2.3533501606255935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
nyc,A4,full,0.5,0.3098617525092863,0.29802001290645797,0.020829971234617467,0.3597163214589122,0.011571941890725981,0.27071428571428574,0.5264285714285715,0.6085714285714285,0.6478571428571429,0.3817571200797053,0.40558802741485317,0.4323078878669406,0.4423061895388193,2.396630861780273,0.27542687453600595,0.5419450631031922,0.629547141796585,0.676317743132888,0.3929200168346082,0.41694063785289687,0.4453613783912122,0.45749358577384275,2.4535132159347213,0.01410541945063104,0.015590200445434244,0.017817371937639215,0.0,0.013388974528538211,0.014762202532631108,0.015374820889160534,0.010729569117613247,19,21,24,0
nyc,A4,only_spatial,0.5,1.0,0.0,0.0,0.0,0.0,0.19142857142857142,0.5042857142857143,0.5978571428571429,0.6478571428571429,0.322238740101656,0.35346535413584607,0.3838457397302114,0.39665274110809867,1.9457040942375021,0.18782479584261322,0.5033407572383074,0.607275426874536,0.676317743132888,0.3265106219730975,0.354672954755689,0.3882942229582886,0.4062096274709526,1.9358235173375469,-0.07349665924276169,-0.023014105419450592,-0.0044543429844098315,0.0,-0.053020420332972495,-0.04750548056457676,-0.04169233454376309,-0.04055438918527693,-99,-31,-6,0
nyc,A4,only_temporal,0.5,0.0,1.0,0.0,0.0,0.0,0.22357142857142856,0.49142857142857144,0.5892857142857143,0.6478571428571429,0.33862991226184624,0.36183698239196366,0.39344424675880063,0.4083877548114558,2.0861811803680954,0.236822568671121,0.512249443207127,0.6124721603563474,0.676317743132888,0.3581316946580755,0.38105057767087486,0.41370906245845435,0.43010991240996554,2.1987219902205615,-0.024498886414253906,-0.01410541945063104,0.0007423904974016571,0.0,-0.021399347647994504,-0.021127857649390902,-0.016277495043597323,-0.016654104246263957,-33,-19,1,0
nyc,A4,only_category_transition,0.5,0.0,0.0,1.0,0.0,0.0,0.2,0.48214285714285715,0.5907142857142857,0.6478571428571429,0.3221964756403568,0.3459623857239333,0.3812577962589119,0.3958261428384024,1.9503017185071474,0.19599109131403117,0.4840386043058649,0.6057906458797327,0.676317743132888,0.32256009544056896,0.344336219287305,0.3841378699913145,0.4024151175455371,1.9348992842898634,-0.06533036377134374,-0.04231625835189312,-0.005939123979213035,0.0,-0.056970946865501026,-0.05784221603296075,-0.045848687510737174,-0.0443488991106924,-88,-57,-8,0
nyc,A4,only_user_preference,0.5,0.0,0.0,0.0,1.0,0.0,0.2621428571428571,0.5071428571428571,0.595,0.6478571428571429,0.37289873226070824,0.3928460871115581,0.4215115554736606,0.43496119888352996,2.321459105086552,0.24647364513734224,0.5241276911655531,0.6191536748329621,0.676317743132888,0.37088284355818285,0.39472818532165727,0.42551491801410096,0.44028965702948764,2.275633300594762,-0.01484780994803267,-0.00222717149220486,0.007423904974016349,0.0,-0.008648198747887137,-0.007450249998608494,-0.004471639487950707,-0.006474359626741866,-20,-3,10,0
nyc,A4,only_popularity,0.5,0.0,0.0,0.0,0.0,1.0,0.21642857142857144,0.45285714285714285,0.5457142857142857,0.6478571428571429,0.32587031582113524,0.3415016520180734,0.37118255087791524,0.3967497304188737,1.985943396410637,0.2182628062360802,0.47512991833704527,0.5649591685226429,0.676317743132888,0.33351056807076335,0.3525714348608246,0.38143007931841405,0.4092587121070558,2.034263146212954,-0.04305864884929472,-0.05122494432071273,-0.04677060133630284,0.0,-0.04602047423530664,-0.049607000459441164,-0.04855647818363762,-0.037505304549173724,-58,-69,-63,0
nyc,A4,without_spatial,0.5,0.0,0.43182654198638376,0.030182316818917868,0.5212235704466626,0.0167675707480358,0.2642857142857143,0.5114285714285715,0.5957142857142858,0.6478571428571429,0.3743636868322805,0.39539340901380016,0.4229230672701412,0.436175361180962,2.338328524417509,0.267260579064588,0.5412026726057907,0.6221232368225686,0.676317743132888,0.3852017199565341,0.4112160516203726,0.4373640988018005,0.4513643717237722,2.4066627604410495,0.00593912397921309,0.014847809948032697,0.010393466963622866,0.0,0.00567067765046414,0.009037616300106854,0.007377541299748824,0.004600355067542694,8,20,14,0
nyc,A4,without_temporal,0.5,0.44141109177802795,0.0,0.029673169631033627,0.5124310209301999,0.016484717660738623,0.26071428571428573,0.5207142857142857,0.605,0.6478571428571429,0.3775188614005742,0.4004574734471602,0.4281659018970702,0.4391490126159429,2.341547763419163,0.2561247216035635,0.534521158129176,0.623608017817372,0.676317743132888,0.38066124918227584,0.40549602979625804,0.4344481504915912,0.44812396558605966,2.345177323521964,-0.005196733481811433,0.008166295471418006,0.01187824795842618,0.0,0.0011302068762058526,0.0033175944759922804,0.00446159298953952,0.001359948929830157,-7,11,16,0
nyc,A4,without_category_transition,0.5,0.3164534691691752,0.3043598191850561,0.0,0.36736859880451195,0.011818112841256827,0.27071428571428574,0.5257142857142857,0.6085714285714285,0.6478571428571429,0.3820187906570272,0.4055537754663651,0.4325153064402814,0.44251510190440024,2.3961439946948206,0.27765404602821087,0.5419450631031922,0.6302895322939867,0.676317743132888,0.39400302531968656,0.41771728664768965,0.446386588829559,0.45831415214070975,2.4642815591834117,0.016332590942835956,0.015590200445434244,0.018559762435040872,0.0,0.014471983013616574,0.015538851327423886,0.016400031327507336,0.01155013548448025,22,21,25,0
