dataset,backbone,variant,rule_strength,weight_spatial,weight_temporal,weight_category_transition,weight_user_preference,weight_popularity,validation_recall_at_1,validation_recall_at_5,validation_recall_at_10,validation_recall_at_20,validation_mrr,validation_ndcg_at_5,validation_ndcg_at_10,validation_ndcg_at_20,validation_objective,test_recall_at_1,test_recall_at_5,test_recall_at_10,test_recall_at_20,test_mrr,test_ndcg_at_5,test_ndcg_at_10,test_ndcg_at_20,test_objective,test_delta_recall_at_1,test_delta_recall_at_5,test_delta_recall_at_10,test_delta_recall_at_20,test_delta_mrr,test_delta_ndcg_at_5,test_delta_ndcg_at_10,test_delta_ndcg_at_20,test_added_hits_at_1,test_added_hits_at_5,test_added_hits_at_10,test_added_hits_at_20
tky,R0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.22655794991263833,0.44539895165987187,0.5345078625509609,0.6003203261502621,0.32793531668557224,0.34201039881666623,0.3708704927746216,0.3873882322546991,2.0215764668126637,0.2588803637396988,0.47698209718670076,0.5537084398976982,0.6206308610400681,0.3596929980544343,0.3749528288014401,0.39995472353107864,0.41686100406488424,2.24714937900137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
tky,R0,full,0.2,0.0,0.0,0.0,1.0,0.0,0.22976121141525918,0.4499126383226558,0.5333430401863716,0.6003203261502621,0.3313782955011511,0.346052682113292,0.37315820125138005,0.39019614371092953,2.0463884615981356,0.26115373685706167,0.47868712702472294,0.55512929809605,0.6206308610400681,0.36300069444473426,0.37810576257348294,0.40283439844859337,0.41948784905653014,2.2644085314711866,0.0022733731173628646,0.0017050298380221762,0.0014208581983518043,0.0,0.0033076963902999856,0.003152933772042843,0.0028796749175147296,0.0026268449916458936,16,12,10,0
tky,R0,only_spatial,0.2,1.0,0.0,0.0,0.0,0.0,0.21767617938264414,0.4452533488642982,0.5355270821199767,0.6003203261502621,0.32281965224972303,0.33792961304055363,0.3672637473055249,0.3836330834717466,1.9767073316851513,0.24936061381074168,0.4788292128445581,0.5583972719522592,0.6206308610400681,0.3550496163026123,0.37181239371106695,0.39780803560821787,0.4135956150555261,2.203133678101204,-0.009519749928957127,0.0018471156578573344,0.004688832054560943,0.0,-0.0046433817518219955,-0.0031404350903731504,-0.0021466879228607683,-0.003265389009358133,-67,13,33,0
tky,R0,only_temporal,0.2,0.0,1.0,0.0,0.0,0.0,0.226703552708212,0.442632498543972,0.5243156668608038,0.6003203261502621,0.3261040514949463,0.34001538116943086,0.36645657086296535,0.3857648762842346,2.015566142041197,0.2587382779198636,0.4715828360329639,0.5483091787439613,0.6206308610400681,0.3581949109531929,0.3724153212685799,0.3971630106239311,0.41540981604803906,2.237146179934191,-0.00014208581983521373,-0.005399261153736845,-0.005399261153736901,0.0,-0.0014980871012413854,-0.002537507532860195,-0.0027917129071475255,-0.001451188016845184,-1,-38,-38,0
tky,R0,only_category_transition,0.2,0.0,0.0,1.0,0.0,0.0,0.22451951077460688,0.4435061153174141,0.524606872451951,0.6003203261502621,0.32522401117383587,0.33966495186836904,0.3658958366221045,0.38514311853126304,2.0064731214580465,0.25689116226200626,0.47215117931230466,0.5473145780051151,0.6206308610400681,0.357813405583436,0.372311139194411,0.3966639178214666,0.4151842915319839,2.2298403731381766,-0.001989201477692548,-0.004830917874396101,-0.006393861892583175,0.0,-0.0018795924709982814,-0.0026416896070290963,-0.0032908057096120436,-0.0016767125329003596,-14,-34,-45,0
tky,R0,only_user_preference,0.2,0.0,0.0,0.0,1.0,0.0,0.22976121141525918,0.4499126383226558,0.5333430401863716,0.6003203261502621,0.3313782955011511,0.346052682113292,0.37315820125138005,0.39019614371092953,2.0463884615981356,0.26115373685706167,0.47868712702472294,0.55512929809605,0.6206308610400681,0.36300069444473426,0.37810576257348294,0.40283439844859337,0.41948784905653014,2.2644085314711866,0.0022733731173628646,0.0017050298380221762,0.0014208581983518043,0.0,0.0033076963902999856,0.003152933772042843,0.0028796749175147296,0.0026268449916458936,16,12,10,0
tky,R0,only_popularity,0.2,0.0,0.0,0.0,0.0,1.0,0.22714036109493302,0.4430693069306931,0.5269365171811299,0.6003203261502621,0.3279269300261277,0.341517669308238,0.36869561652089317,0.3872065807688353,2.021075350644791,0.2605853935777209,0.47058823529411764,0.5508667235009946,0.6206308610400681,0.3596160959050532,0.37300680776299966,0.39900937873930375,0.4165297607748744,2.2455527132730544,0.0017050298380221207,-0.006393861892583119,-0.0028417163967036085,0.0,-7.690214938105289e-05,-0.0019460210384404375,-0.0009453447917748825,-0.00033124329000983055,12,-45,-20,0
tky,R0,without_spatial,0.2,0.0,0.0,0.0,1.0,0.0,0.22976121141525918,0.4499126383226558,0.5333430401863716,0.6003203261502621,0.3313782955011511,0.346052682113292,0.37315820125138005,0.39019614371092953,2.0463884615981356,0.26115373685706167,0.47868712702472294,0.55512929809605,0.6206308610400681,0.36300069444473426,0.37810576257348294,0.40283439844859337,0.41948784905653014,2.2644085314711866,0.0022733731173628646,0.0017050298380221762,0.0014208581983518043,0.0,0.0033076963902999856,0.003152933772042843,0.0028796749175147296,0.0026268449916458936,16,12,10,0
tky,R0,without_temporal,0.2,0.0,0.0,0.0,1.0,0.0,0.22976121141525918,0.4499126383226558,0.5333430401863716,0.6003203261502621,0.3313782955011511,0.346052682113292,0.37315820125138005,0.39019614371092953,2.0463884615981356,0.26115373685706167,0.47868712702472294,0.55512929809605,0.6206308610400681,0.36300069444473426,0.37810576257348294,0.40283439844859337,0.41948784905653014,2.2644085314711866,0.0022733731173628646,0.0017050298380221762,0.0014208581983518043,0.0,0.0033076963902999856,0.003152933772042843,0.0028796749175147296,0.0026268449916458936,16,12,10,0
tky,R0,without_category_transition,0.2,0.0,0.0,0.0,1.0,0.0,0.22976121141525918,0.4499126383226558,0.5333430401863716,0.6003203261502621,0.3313782955011511,0.346052682113292,0.37315820125138005,0.39019614371092953,2.0463884615981356,0.26115373685706167,0.47868712702472294,0.55512929809605,0.6206308610400681,0.36300069444473426,0.37810576257348294,0.40283439844859337,0.41948784905653014,2.2644085314711866,0.0022733731173628646,0.0017050298380221762,0.0014208581983518043,0.0,0.0033076963902999856,0.003152933772042843,0.0028796749175147296,0.0026268449916458936,16,12,10,0
tky,R0,without_user_preference,0.0,0.0,0.0,0.0,0.0,0.0,0.22655794991263833,0.44539895165987187,0.5345078625509609,0.6003203261502621,0.32793531668557224,0.34201039881666623,0.3708704927746216,0.3873882322546991,2.0215764668126637,0.2588803637396988,0.47698209718670076,0.5537084398976982,0.6206308610400681,0.3596929980544343,0.3749528288014401,0.39995472353107864,0.41686100406488424,2.24714937900137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
tky,R0,without_popularity,0.2,0.0,0.0,0.0,1.0,0.0,0.22976121141525918,0.4499126383226558,0.5333430401863716,0.6003203261502621,0.3313782955011511,0.346052682113292,0.37315820125138005,0.39019614371092953,2.0463884615981356,0.26115373685706167,0.47868712702472294,0.55512929809605,0.6206308610400681,0.36300069444473426,0.37810576257348294,0.40283439844859337,0.41948784905653014,2.2644085314711866,0.0022733731173628646,0.0017050298380221762,0.0014208581983518043,0.0,0.0033076963902999856,0.003152933772042843,0.0028796749175147296,0.0026268449916458936,16,12,10,0
tky,R0,user_spatial,0.2,0.0,0.0,0.0,1.0,0.0,0.22976121141525918,0.4499126383226558,0.5333430401863716,0.6003203261502621,0.3313782955011511,0.346052682113292,0.37315820125138005,0.39019614371092953,2.0463884615981356,0.26115373685706167,0.47868712702472294,0.55512929809605,0.6206308610400681,0.36300069444473426,0.37810576257348294,0.40283439844859337,0.41948784905653014,2.2644085314711866,0.0022733731173628646,0.0017050298380221762,0.0014208581983518043,0.0,0.0033076963902999856,0.003152933772042843,0.0028796749175147296,0.0026268449916458936,16,12,10,0
tky,R0,user_temporal,0.2,0.0,0.0,0.0,1.0,0.0,0.22976121141525918,0.4499126383226558,0.5333430401863716,0.6003203261502621,0.3313782955011511,0.346052682113292,0.37315820125138005,0.39019614371092953,2.0463884615981356,0.26115373685706167,0.47868712702472294,0.55512929809605,0.6206308610400681,0.36300069444473426,0.37810576257348294,0.40283439844859337,0.41948784905653014,2.2644085314711866,0.0022733731173628646,0.0017050298380221762,0.0014208581983518043,0.0,0.0033076963902999856,0.003152933772042843,0.0028796749175147296,0.0026268449916458936,16,12,10,0
tky,R0,user_spatial_temporal,0.2,0.0,0.0,0.0,1.0,0.0,0.22976121141525918,0.4499126383226558,0.5333430401863716,0.6003203261502621,0.3313782955011511,0.346052682113292,0.37315820125138005,0.39019614371092953,2.0463884615981356,0.26115373685706167,0.47868712702472294,0.55512929809605,0.6206308610400681,0.36300069444473426,0.37810576257348294,0.40283439844859337,0.41948784905653014,2.2644085314711866,0.0022733731173628646,0.0017050298380221762,0.0014208581983518043,0.0,0.0033076963902999856,0.003152933772042843,0.0028796749175147296,0.0026268449916458936,16,12,10,0
