dataset,backbone,gate,num_samples,sample_fraction,corrected_top1,broken_top1,net_top1,corrected_capture_rate,broken_capture_rate,top1_change_density
nyc,A4,all_samples,1347,1.0,78,59,19,1.0,1.0,0.10170749814402376
nyc,A4,model_rule_disagree,937,0.6956198960653304,78,59,19,1.0,1.0,0.14621131270010673
nyc,A4,disagree_and_low_model_margin_q25,289,0.214550853749072,35,22,13,0.44871794871794873,0.3728813559322034,0.1972318339100346
nyc,A4,disagree_and_low_model_margin_q50,530,0.39346696362286565,64,46,18,0.8205128205128205,0.7796610169491526,0.20754716981132076
nyc,A4,teacher_changes_top1,407,0.3021529324424647,78,59,19,1.0,1.0,0.3366093366093366
nyc,A4,changed_and_low_model_margin_q50,319,0.236822568671121,64,46,18,0.8205128205128205,0.7796610169491526,0.3448275862068966
nyc,A4,changed_and_low_final_margin_q50,307,0.22791388270230142,54,42,12,0.6923076923076923,0.711864406779661,0.3127035830618892
ca,R0,all_samples,2780,1.0,34,32,2,1.0,1.0,0.023741007194244605
ca,R0,model_rule_disagree,2073,0.74568345323741,34,32,2,1.0,1.0,0.03183791606367583
ca,R0,disagree_and_low_model_margin_q25,562,0.20215827338129497,26,25,1,0.7647058823529411,0.78125,0.09074733096085409
ca,R0,disagree_and_low_model_margin_q50,1113,0.4003597122302158,34,32,2,1.0,1.0,0.05929919137466307
ca,R0,teacher_changes_top1,304,0.1093525179856115,34,32,2,1.0,1.0,0.21710526315789475
ca,R0,changed_and_low_model_margin_q50,303,0.10899280575539569,34,32,2,1.0,1.0,0.21782178217821782
ca,R0,changed_and_low_final_margin_q50,299,0.10755395683453238,33,31,2,0.9705882352941176,0.96875,0.2140468227424749
tky,R0,all_samples,7038,1.0,125,109,16,1.0,1.0,0.03324808184143223
tky,R0,model_rule_disagree,4469,0.6349815288434214,125,109,16,1.0,1.0,0.052360707093309464
tky,R0,disagree_and_low_model_margin_q25,1230,0.17476555839727195,84,67,17,0.672,0.6146788990825688,0.12276422764227642
tky,R0,disagree_and_low_model_margin_q50,2456,0.34896277351520316,122,108,14,0.976,0.9908256880733946,0.09364820846905537
tky,R0,teacher_changes_top1,837,0.11892583120204604,125,109,16,1.0,1.0,0.27956989247311825
tky,R0,changed_and_low_model_margin_q50,812,0.11537368570616652,122,108,14,0.976,0.9908256880733946,0.2832512315270936
tky,R0,changed_and_low_final_margin_q50,826,0.11736288718385905,122,109,13,0.976,1.0,0.2796610169491525
