dataset,backbone,outcome,num_samples,model_rule_top1_disagree_fraction,target_in_top20_fraction,base_rank_mean,final_rank_mean,model_margin_mean,model_margin_median,rule_margin_mean,rule_margin_median,final_margin_mean,final_margin_median,target_distance_km_mean,target_distance_km_median,target_model_score_mean,target_model_score_median,target_rule_score_mean,target_rule_score_median,target_spatial_mean,target_spatial_median,target_temporal_mean,target_temporal_median,target_category_transition_mean,target_category_transition_median,target_user_preference_mean,target_user_preference_median,target_popularity_mean,target_popularity_median
nyc,A4,unchanged,564,0.7216312056737588,0.22695035460992907,878.9734042553191,878.9734042553191,0.2111318885671826,0.1717625727459235,0.13025017867932506,0.08809122750099296,0.1511722327834986,0.11461267766096472,4.239676534948606,1.8986515868525307,0.7189707773211964,0.7544536044585006,0.47031564358851247,0.451298373444044,0.5592977641577269,0.561922368744783,0.33831354864966723,0.22007698639344053,0.2858369114457836,0.13999393838433954,0.5170807546370125,0.41176470588235303,0.3655469858544942,0.3383847297238438
nyc,A4,kept_top1,293,0.3720136518771331,1.0,1.0,1.0,0.2612340302183905,0.24542830115704806,0.1555604494418244,0.11881050537101867,0.22879604414028276,0.20478998416796101,3.726135840184382,1.3505879560017773,1.0,1.0,0.7037598604975823,0.7117590779039277,0.5598325298267718,0.5164801983190642,0.6431223983765727,0.7738135920037666,0.5842270672938655,0.5973782137346817,0.8898392117624973,1.0,0.5501846913797522,0.5283208335737187
nyc,A4,improved_non_top1,195,0.8205128205128205,1.0,8.138461538461538,5.174358974358975,0.17602977234462228,0.12902455192136164,0.1067310692191389,0.08008396552028862,0.11854506572319604,0.09281120689983047,3.619604249243224,0.8732246946737041,0.4721087907718111,0.47596796170233113,0.5841611885351391,0.5778255430690403,0.597457910053503,0.7024173123212577,0.5975613481010768,0.6678124934468495,0.4805730783389567,0.383027049002693,0.5741795152573905,0.5882352941176471,0.3797570330077263,0.33792253191136795
nyc,A4,worsened_non_top1,158,0.7848101265822784,1.0,5.544303797468355,7.765822784810126,0.1680040332050398,0.12565424094782685,0.10851525830150098,0.07440463538275915,0.12749659570000246,0.10315139120006839,5.784136139667481,2.2474942530779702,0.5921451293011354,0.6097045912806053,0.29276204027909647,0.2817827920086323,0.38715586140354724,0.30910323810266194,0.18002702961401262,0.10677649120371144,0.16574937609820536,0.059076455374049236,0.310318368683715,0.21890385449350785,0.35140619606919227,0.33229239071715455
nyc,A4,corrected_top1,78,1.0,1.0,2.5,1.0,0.10328396118361557,0.08622562279695423,0.1809174481592228,0.15322823698823032,0.10077083814235348,0.08790651639609637,2.2934076919876265,0.23674506020524036,0.8594077276512155,0.8832029547191524,0.7804232761581215,0.7565426628848301,0.7334440370304741,0.9180519244335752,0.7201048067378546,1.0,0.6675648765738292,0.90995000547748,0.8853577159567928,1.0,0.533047936213955,0.4746131185731802
nyc,A4,broken_top1,59,1.0,1.0,1.0,2.389830508474576,0.11378664275249288,0.10280963331968906,0.16694589112497432,0.16197916716379013,0.09825127804158225,0.06939205202252074,5.6054321469187,2.952031541258361,1.0,1.0,0.43141011129840673,0.45251343928807347,0.35347997688347244,0.3622653076892484,0.2998524818746255,0.2564555353908433,0.26879912916398935,0.07368314965544905,0.6149475095323274,0.5822222222222222,0.49364329447216027,0.4022496114604894
ca,R0,unchanged,1851,0.7752566180443003,0.22312263641274988,1069.5856293895192,1069.5856293895192,0.20824580435382348,0.17481345634721135,0.10727349608910339,0.07092473774292912,0.17391445768704514,0.15200003213426716,22.306508316352367,3.2482968687513383,0.6349133109950553,0.671470165708734,0.43051633459121436,0.4134689506738811,0.4872484179897973,0.476367464482452,0.38502048229683644,0.2605557555369115,0.4015410742509505,0.21502254435663856,0.43333993866091997,0.3465346534653465,0.3650204227820286,0.30374104537330354
ca,R0,kept_top1,437,0.551487414187643,1.0,1.0,1.0,0.28990663204615613,0.2595252234289096,0.16778441013460352,0.11957372540966982,0.2647189666384881,0.2441595522731218,42.91987943353998,1.5218889340739743,1.0,1.0,0.6026978706052531,0.6115865068702544,0.5269998813017104,0.565815424463951,0.44689647338704414,0.3110056242597292,0.52044060551924,0.44579125595624464,0.8060736659419224,1.0,0.4740661600275893,0.4232055336580345
ca,R0,improved_non_top1,284,0.7852112676056338,1.0,9.464788732394366,7.327464788732394,0.21188540225859598,0.19112382829142577,0.12248675250878595,0.08055379243381722,0.17764434465153825,0.15926743488074335,18.010218126868764,1.201118949210123,0.37283678044581703,0.33620293635629683,0.5394332584413635,0.5248885012464402,0.5818618202711969,0.6670480388241552,0.5511222578397826,0.5236043227227417,0.4765874383245928,0.36966089974080335,0.5025912147858372,0.4852456604883789,0.3411072280850031,0.2467934461427443
ca,R0,corrected_top1,34,1.0,1.0,2.2058823529411766,1.0,0.05819877700467031,0.047591657184897496,0.17849813289905894,0.16178782798917107,0.04883295774741448,0.031843378740392,17.703741395640844,1.1306535827766897,0.9357203774888959,0.9418236206207795,0.7309028226512623,0.7393457500464515,0.6579107939537249,0.7946770700865113,0.7334074703489257,0.8421744330293225,0.6326759325317618,0.7175900392248762,0.7878860035979602,1.0,0.5135118123497455,0.5018595325309781
