dataset,backbone,sample_index,user_id,timestamp,outcome,label_poi_id,label_category_name,previous_category_name,model_top1_poi_id,model_top1_category_name,final_top1_poi_id,final_top1_category_name,base_rank,final_rank,rank_improvement,model_rule_top1_disagree,model_margin,rule_margin,final_margin,target_distance_km,target_spatial,target_temporal,target_category_transition,target_user_preference,target_popularity
nyc,A4,1086,850,2013-01-17 10:44:20,improved_non_top1,631,Gym / Fitness Center,Mexican Restaurant,204,Bar,923,Gym / Fitness Center,20,5,15,True,0.09499392628368819,0.09921741162904596,0.006905610522371042,0.3572333459480997,1.0,1.0,0.4407610421052722,0.12345679012345678,0.11849749005767028
nyc,A4,974,763,2013-01-06 13:47:44,improved_non_top1,2405,Subway,Home (private),4703,Moving Target,4296,Home (private),19,7,12,True,0.09937090428363171,0.5651737008332834,0.23647554700147,0.31752846092362097,0.8008268408775934,0.5348037512493705,0.17647620369732736,0.043589743589743594,0.40918915009980944
nyc,A4,839,696,2013-01-02 17:53:49,improved_non_top1,1061,Train Station,Building,584,Bus Station,584,Bus Station,15,4,11,True,0.5275958424521225,0.09638919154992864,0.12110321996602658,6.555040085480203,0.39571578544250274,1.0,0.6989294033183373,1.0,0.4428491819970161
nyc,A4,913,726,2013-01-29 22:47:58,improved_non_top1,3959,Home (private),Electronics Store,3958,Home (private),3958,Home (private),18,7,11,False,0.09815640192790054,0.029637609389132957,0.2623693563757815,6.822040057691557,0.0003451149632848601,1.0,1.0,0.7068403908794787,0.0
nyc,A4,1071,837,2013-02-06 14:06:52,improved_non_top1,1212,Coffee Shop,Performing Arts Venue,2544,Subway,2544,Subway,16,6,10,True,0.12378824705636204,0.09697809118676914,0.10431816448367415,2.122531595301798,0.7523303321067568,0.5785547790821833,0.0955240436297904,1.0,0.13081924712892484
nyc,A4,962,751,2012-12-22 22:22:56,improved_non_top1,471,Bar,Government Building,2804,Home (private),2804,Home (private),20,10,10,False,0.27635618721069954,0.4129843018221902,0.3446702445164449,1.963061648068033,1.0,0.11893170722821332,0.0004777910002013092,0.39999999999999997,0.0
nyc,A4,1265,950,2013-02-07 11:55:17,improved_non_top1,728,Clothing Store,Food & Drink Shop,401,Hotel,401,Hotel,11,2,9,True,0.5707507007624678,0.09532034047299243,0.21333743174371667,6.780914870453816,0.7690916472486055,0.0,0.0,1.0,0.0
nyc,A4,448,379,2013-01-04 23:23:41,improved_non_top1,4976,Home (private),Deli / Bodega,4095,Trade School,3839,Home (private),14,6,8,True,0.0358903092712316,0.10656744931825557,0.12396173829317281,0.801337324878114,0.857128555038445,1.0,1.0,0.7359154929577466,0.0
nyc,A4,456,379,2013-02-07 20:36:53,improved_non_top1,4976,Home (private),Coffee Shop,4145,School,4145,School,11,3,8,True,0.07579907483998427,0.10656744931825546,0.02753436161389544,1.156540682122596,0.800316733637597,1.0,0.44030415598686756,0.7359154929577466,0.0
nyc,A4,879,712,2012-12-28 08:58:41,improved_non_top1,1484,Office,Middle Eastern Restaurant,279,Park,279,Park,10,2,8,True,0.2568771894130504,0.34179043307022583,0.13072323394474683,2.4965773786336514,0.5702367827321786,0.9056403778553366,0.2230319229411468,1.0,0.0
